,text,category,labels,scores,discrediting,emotion,polarization,impersonation,conspiracy,trolling,pro-ukrainian,pro-russian
10,"🇺🇦🕯 Дорога Корюківська громадо!

Зі скорботою повідомляємо, що захищаючи Україну від ворога, загинув наш земляк Парфенцов Сергій Тихонович, 1974 року народження.

Сергій народився на Городнянщині, але значну частину життя прожив у Корюківці.

Завтра, 31 травня, ми проводжатимемо в останню путь нашого захисника.

🔻 О 9.00 вшануймо воїна живим коридором від моргу до центральної площі.

🔻 Об 11.30 початок церемонії прощання за адресою: вул. Гетьмана Мазепи, 4 (колишня Червонохутірська).

🔻 О 12.00 відспівування у Свято-Вознесенському храмі.
Поховають Героя на новому міському кладовищі.

Вічна і світла пам’ять воїну!
Щирі співчуття рідним!",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.7507768869400024, 0.09028830379247665, 0.08317521959543228, 0.07575960457324982]",0,3,0,0,0,0,4,0
11,"‼️Российские войска, отразив атаки противника, продвинулись к югу от Крынок

😌Свободный Херсон",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.7180472612380981, 0.15107578039169312, 0.10719138383865356, 0.023685583844780922]",1,2,1,0,0,1,0,4
12,"‼️Денацификация продолжается:  уничтожили комбата ""правого сектора""

В социальных сетях нашли некролог о Малковиче В.В. с позывным ""Хорват"" (1992 г.р.). Нацист участвовал в боевых действиях  в составе 95 одшбр, где в настоящее время числится ""пропавшим без вести"".

Однако все украинские нацисты знают о его судьбе и брошенном теле.

Василий Малкович (“Хорват”) родился и вырос в Прикарпатье. С юношеских лет принимал активное участие в деятельности неонацистской организации “тризуб бандеры"".Во время майдана “Хорват” стал одним из главарей “правого сектора” в Киеве. Руководил подразделением “зарево” — можно сказать, элитным отрядом банды неонацистов.

Командовал 5-м отдельным батальоном ""правосеков"". Причастен к многочисленным военным преступлениям против жителей Донбасса. Участвовал во вторжении в Суджанское приграничье, где отличался особой жестокостью в отношении мирных жителей. Уничтожен Бесстрашными.

📱телеграм-канал Херсонский Вестник
🌐группа VK Вконтакте",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.5905764698982239, 0.28912317752838135, 0.06819171458482742, 0.05210864916443825]",5,4,5,0,2,3,0,5
13,"Корюківські спортсмени - переможці області з кросу

У Чернігові пройшов чемпіонат області з легкоатлетичного кросу.

Як повідомляють ""Педагогічні вісті Корюківщини"", вихованці Корюківської дитячо-юнацької спортивної школи ""набігали"" на три медалі: Роман Ховдій та Євгеній Швирков посіли 1 місце, Поліна Єременко - 3 місце.

""Місцеві медіа""",deoccupied,"['territory', 'economy', 'entertainment', 'politics']","[0.9513537883758545, 0.01797185093164444, 0.015628814697265625, 0.015045511536300182]",0,1,0,0,0,0,0,0
14,"Скадовськ сьогодні

Надіслати новину @hueviy_kherson_Bot
👉ПІДПИСАТИСЯ",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.8079141974449158, 0.11535034328699112, 0.049682822078466415, 0.027052704244852066]",0,0,0,0,0,0,0,0
15,"Засевших под Антоновским мостом ВСУшников, ВКС заботливо знакомит с новой красавицей, УМПК1500М54.

Все остались довольны, никто не ушёл обиженным. Встреча была жаркой, можно сказать с огоньком🔥.

😌Свободный Херсон",deoccupied,"['territory', 'entertainment', 'politics', 'economy']","[0.48218634724617004, 0.29057180881500244, 0.12667715549468994, 0.10056467354297638]",4,3,3,0,0,4,0,5
16,"Стало відомо про загибель жінки у Велетенському через атаку російського дрона 25-го січня.

Ворог скинув вибухівку з БпЛА на 50-річну місцеву жительку, через що вона дістала поранення, несумісні з життям.

Мої співчуття рідним вбитої.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.7161461710929871, 0.11737099289894104, 0.09112078696489334, 0.07536204159259796]",2,3,2,0,0,0,4,0
17,"Китай провел успешные испытания неядерной ""водородной бомбы"" на основе гидрида магния,
сообщает газета South China Morning Post

ИзХерсонец - http://t.me/Kherson_Uyut
Прислать сообщение в бот",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.6608117818832397, 0.1889595240354538, 0.11095543950796127, 0.03927323594689369]",0,1,0,0,0,0,0,0
18,"Продавала гранати: на Чернігівщині затримали жінку, яку підозрюють у торгівлі зброєю і боєприпасами.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.9535301327705383, 0.02827913500368595, 0.010500721633434296, 0.00769005436450243]",2,1,1,0,0,1,0,0
19,"❗️После 22:30 ⏱️ враг начал артобстрел Корабельного района Херсона🇺🇦

❗️Около 21:50 ⏱️ артиллерия рф нанесла удары по району Восточного / Киндийки

@kherson_non_fake",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.7680827975273132, 0.1014481782913208, 0.09177451580762863, 0.03869445621967316]",1,2,2,0,0,0,3,0
20,"❗️Сьогодні у Дар’ївці під удар ворожого безпілотника потрапила ще одна місцева жителька.

Внаслідок скидання вибухівки з БпЛА 48-річна жінка дістала вибухову травму та уламкове поранення руки.

Бригада «екстренки» надала їй медичну допомогу на місці. Від госпіталізації потерпіла відмовилась.",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.7641267776489258, 0.10314110666513443, 0.07332120090723038, 0.05941085144877434]",0,2,1,0,0,0,3,0
21,"​У Корюківському районі на автодорозі «Мена-Макошино» сталася ДТП. Водійка легкового автомобіля втратила керування, з’їхала на узбіччя, після чого машина перекинулася. Жінку з травмами госпіталізували до лікарні. Про це повідомляє Департамент з питань цивільного захисту Чернігівської ОВА.",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9141294360160828, 0.03734965994954109, 0.03539386764168739, 0.013127002865076065]",0,1,0,0,0,0,0,0
22,"⚡️ Авіація відлетіла від пускових. Очікуємо відбій, якщо не буде нових бортів",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.5836522579193115, 0.16777706146240234, 0.129908487200737, 0.11866222321987152]",0,1,0,0,0,0,0,0
23,"​Менський центр первинної медико-санітарної допомоги став більш енергонезалежним. Завдяки підтримці Ukraine2Power заклад отримав мобільну зарядну станцію, яка забезпечує безперебійне збереження вакцин навіть під час відключень електроенергії. Про це повідомляє Менська міська рада.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.6521417498588562, 0.29799410700798035, 0.02904054895043373, 0.02082359418272972]",0,1,0,0,0,0,3,0
24,"💥Ворог масовано атакував Одесу ударними безпілотниками, — ОВА

У місті пошкоджено цивільну інфраструктуру, житлові будинки, навчальний заклад, транспортні засоби, зайнялися пожежі.

Над ліквідацією наслідків російських атак працюють усі відповідні служби.

За попередньою інформацією постраждали 3 особи.

🍉 ПІДПИСАТИСЬ НА КАНАЛ",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.5805098414421082, 0.16952800750732422, 0.16107410192489624, 0.08888805657625198]",2,3,2,0,0,1,4,0
25,"#обстановка_кратко
Из той истории, как на самом деле всё сложилось для ВСУ в приграничье Курской области. По данным открытых источников, противник несёт высокие потери и территориально не смог сдержать напор российских войск. В связи с этим часть подразделений ВСУ оказалась в «котлах», люди начали паниковать, а ГШ Украины не смог исправить ситуацию в связи с тем, что их подчиненные дрогнули и потеряли веру в руководство. Из этого следует, что единственный вариант выжить для солдат ВСУ — бросить всё и бежать либо сдаться в плен российским войскам.

❗️ Солдаты ВСУ, на фронте Вас ждёт лишь смерть. Если вы хотите избежать гибели - пишите на аккаунт https://t.me/FREE_SOLDIER2022, там Вам помогут остаться в живых и вернуться домой к семье.

Подписаться на наш канал 👈
Обратная связь 📲",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9917750954627991, 0.00533137796446681, 0.0018649438861757517, 0.0010285582393407822]",5,4,3,0,1,2,0,5
26,"❗️У Дніпровському районі Херсона під удар ворожого дрона потрапила ще одна людина.

55-річна жінку доправили до лікарні у важкому стані. У потерпілої - мінно-вибухова травма та травматична ампутація ніг.

Лікарі роблять все можливе для її порятунку.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.8648308515548706, 0.05335686355829239, 0.04531646519899368, 0.03649579733610153]",2,4,3,0,0,0,3,0
27,"🥃 На Чернігівщині протягом вихідних патрульні зупинили 31 водія з ознаками сп'яніння

Протягом вихідних 29-30 березня патрульні поліцейські виявили на Чернігівщині та задокументували 31 факт керування авто водіями з ознаками сп’яніння.

Про це повідомляє патрульна поліція Чернігівської області.

По кожному з випадків правоохоронці склали адміністративні матеріали, які пізніше направлять до суду.",deoccupied,"['territory', 'economy', 'entertainment', 'politics']","[0.8669177293777466, 0.06695566326379776, 0.033612173050642014, 0.03251447156071663]",1,1,1,0,0,0,0,0
28,"По состоянию на 10:00 по всей Украине вводят аварийные отключения, — сообщает Укрэнерго

🇺🇦 Украина | Новости ‼️",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.6872973442077637, 0.16399796307086945, 0.07808730751276016, 0.07061736285686493]",0,1,0,0,0,0,0,0
29,"Жительница Херсонской области передавала данные о ВС РФ представителям ВСУ — суд приговорил шпионку к 9 годам колонии

Девушка с июня 2022 года по июль 2023 года собирала и передавала представителям ВСУ сведения о местах сосредоточения военнослужащих и военной техники ВС РФ.

Справедливо?",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.6493491530418396, 0.15371061861515045, 0.11851068586111069, 0.07842954993247986]",3,2,3,0,1,1,1,4
30,15.04.25  Херсон: знову удар з дрону по цивільній автівці,deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.728757917881012, 0.18654674291610718, 0.04852505773305893, 0.036170292645692825]",2,3,2,0,1,1,3,1
31,"- Как по-вашему, сделка назревает? Есть ли у вас уверенность в этом?
- Очень правильное слово, Шон - назревает. Да, у меня есть уверенность. Это была уже моя третья встреча с ним и она длилась почти пять часов. Вместе с ним были двое его ближайших советников – Ушаков и Кирилл Дмитриев. Это была важная встреча, где наконец… не в том смысле наконец, что пришлось долго ждать, а в том смысле, что не сразу до этого дошло… Так вот наконец дошла очередь до того, что именно Путину нужно для установления устойчивого мира. Не только обычного прекращения огня. Мы получили ответ на этот вопрос.
- Будет ли сделка включать что-то неожиданное? То, о чем сейчас никто не задумывается? Мне, например, кажется, что Владимир Путин, вероятно, захочет восстановить деловые отношения с США и Европой. Есть ли для этого потенциал?
- Сама сделка касается пяти так называемых территорий, но предполагается и нечто куда большее. Тема безопасности, тема «нет НАТО» и 5-й статьи (устава НАТО). Со сделкой увязано много разных деталей. Ситуация сложная. Между этими двумя странами существуют очень большие проблемы. Но, возможно, мы сейчас стоим на грани чего-то такого, что будет иметь значение огромной важности для всего мира. А кроме всего прочего появилась возможность перестройки всей системы американо-российских отношений, благодаря очень важным коммерческим возможностям. Что в свою очередь подарит региону стабильность. Партнерство рождает стабильность.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.9973176717758179, 0.0016673572827130556, 0.0008325751405209303, 0.0001823471102397889]",1,2,3,0,2,1,1,3
32,"Военнослужащие Росгвардии доставили в Алешкинский детский дом-интернат гуманитарную помощь

Росгвардейцы привезли для детей необходимые продукты питания. Руководство и сотрудники Алешкинского детского дома-интерната выразили благодарность Росгвардии за оказанную помощь и внимание.

С П А С И Б О !

👉 MDK Херсон. Подписаться",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.8675876259803772, 0.07696044445037842, 0.029920943081378937, 0.025530952960252762]",0,1,0,0,0,0,0,2
33,"The HALO Trust – найбільша у світі гуманітарна організація, яка займається розмінуванням
ХАЛО працює в Україні з 2016 року. Займається очищенням територій від мін та вибухонебезпечних предметів, навчає жителів правилам безпечної поведінки в умовах війни.
Наразі організація має групи обстеження та розмінування в Київській, Чернігівській та Сумській областях.

⚠️ До наступної п’ятниці (до 19 липня) ХАЛО працюватиме у нашій громаді і проводитиме інформаційну кампанію. Зокрема команда організації проводитиме опитування на вулицях нашої громади, розповсюджуватиме інформаційні матеріали, щоб максимально інформувати жителів Корюківщини про мінну небезпеку.",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9510442614555359, 0.018547039479017258, 0.017496926710009575, 0.012911787256598473]",0,1,0,0,0,0,2,0
34,"На Херсонском направлении, активно применяются FPV-дроны и Мавики со сбросами. Бабя Яга это отдельная тема для разговора. Выживание зависит не только от подготовки, но и от способности адаптироваться к новым угрозам подразделения, организация РЭР и РЭБ. Хотя бы окопного.  Вот собрали несколько практических рекомендаций, основанные на опыте, которые помогут минимизировать риск обнаружения и поражения.​ Многое зависит от самого себя и своей подготовки. Вдруг кому пригодятся эти простые истины.

Как минимизировать обнаружение на позициях

1. Маскировка и укрытие
Используйте маскировочные сети и естественные укрытия: Это затруднит визуальное обнаружение с воздуха.

Избегайте создания тепловых аномалий: Не используйте открытый огонь и старайтесь не перегревать оборудование, чтобы не привлекать внимание тепловизоров.​

2. Снижение радиосигналов
Ограничьте использование радиосвязи: Применяйте проводную связь или короткие радиосообщения, чтобы уменьшить вероятность радиоперехвата.

Используйте средства радиоэлектронной борьбы (РЭБ). Они могут подавлять сигналы управления дронами, снижая их эффективность.​

3. Организация позиций
Размещайте позиции под навесами или в укрытиях: Это затруднит обнаружение сверху. Не мусорить на позициях!

Регулярно меняйте расположение позиций: Это снизит риск попадания по координатам, переданным разведывательными дронами!


Как увернуться от FPV-дронов и сбросов

1. Поведение при атаке дрона
Не убегайте спиной к дрону: Лучше держать его в поле зрения, чтобы оценить направление атаки и вовремя увернуться.
Используйте резкие маневры: Прыжки в стороны или уклонения могут сбить дрон с курса.​

2. Использование укрытий
Прячьтесь под твердыми конструкциями: Они могут защитить от сбросов и ударов дронов.
Используйте антидронные сетки: Они могут задержать или сбить дрон до того, как он достигнет цели.​ Прячетесь под густыми ветками деревьев, кустов.


3. Обман дронов
Используйте ложные цели: Размещайте муляжи техники или позиций, чтобы отвлечь внимание операторов дронов противника.

Дополнительные меры безопасности:

▪️Обучение и тренировки. Регулярно проводите учения по действиям при атаке дронов.

▪️Использование специальных средств защиты. Применяйте СИЗ (бронежилет, каска, напашник, защита затылка и т.д.) способные снизить травмы от осколков.

▪️Сбор и анализ информации. Отслеживайте новые методы атаки противника и адаптируйте свои меры защиты соответственно.

Понятно, что всё это сложно, но в целом, у нас ведётся хорошая радиоэлектронная борьба с БПЛА ВСУ, которая минимизирует потери, повреждения и уничтожения техники и инфраструктуры.


🦅 Подписаться | Наш чат 👌",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.7054188847541809, 0.13399313390254974, 0.10642042011022568, 0.05416757985949516]",1,1,1,0,0,0,0,3
35,"По даним від партизанів в Білому Домі, які наближені до президента Трампа, угода між Україною та руснею буде підписана 30 лютого поточного року.

Запам'ятайте цей ""твіт"".",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.5150659680366516, 0.3882034718990326, 0.0689534917473793, 0.027777083218097687]",3,2,3,4,4,5,2,2
36,"🔴Росія готує наступ влітку на північ України.

За інформацією військових, ворог планує активні бойові дії на території Чернігівської та Сумської областей.

Цілі противника — створення буферної зони, а в ідеалі — повна окупація регіонів.

Незалежний Чернігів 🇺🇦 | Приєднатись",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.8998113870620728, 0.04279102385044098, 0.030258560553193092, 0.02713901177048683]",2,3,2,0,1,1,4,1
37,"🤡Львів — китайське місто: Соловйоб збирається подарувати західну Україну Пекіну.

У дурці весняне загострення🤣
Треба декілька КАБів скинути на Останкіно, може допоможе...

Підписатись: Херсон Днём и ночью 👈 тиць!",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.6119068264961243, 0.14651161432266235, 0.14075233042240143, 0.10082921385765076]",4,3,3,0,2,4,3,1
38,"Кадры принудительной мобилизации на Украине

Сотрудник ТЦК подрался с украинцем в Киеве. При этом во время потасовки полицейский распылил в лицо мужчины перцовый баллончик.

📱телеграм-канал Херсонский Вестник
🌐группа VK Вконтакте",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.6681999564170837, 0.1928308606147766, 0.08961654454469681, 0.04935268312692642]",4,3,4,0,0,2,0,4
39,"Всіх с Великоднем!

Нехай цей день наповнить ваші серця спокоєм, вірою та теплом рідного дому. Бережімо одне одного, тримаймося разом і віримо — добро завжди перемагає.

Миру нам, сил і перемоги!

🍉 ПІДПИСАТИСЬ НА КАНАЛ",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.8823325634002686, 0.04566599801182747, 0.03687864914536476, 0.03512284532189369]",0,3,0,0,0,0,2,0
40,"Завтра, з 8:00 до 17:00, у зв’язку з виконанням ремонтних робіт на підвищувальній насосній станції, у Таврійському мікрорайоні буде відсутнє водопостачання в будинках за наступними адресами:

– вул. Карбишева, 22, 24, 26, 26-А (д/с №11), 28, 28-А;
– просп.200-річчя Херсона, 31, 33, 35, 37.

Рекомендуємо зробити необхідний запас води для питних та побутових потреб.

Надіслати новину @hueviy_kherson_Bot
👉ПІДПИСАТИСЯ",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9434515833854675, 0.029783854261040688, 0.023257367312908173, 0.0035072090104222298]",0,0,0,0,0,0,0,0
41,"Работа общественного транспорта, ремонт дорог, безопасность детей, благоустройство – на оперативном совещании дал поручения по этим и другим вопросам.

⚫️ На одной из встреч жители Зугрэса просили наладить движение автобусов по маршруту Харцызск – Иловайск с заходом в Зугрэс, Широкое и Троицко-Харцызск.

⚡️ Поручил министру транспорта до 28 апреля сформировать график движения автобусов, удобный для жителей, и довести его до граждан.

⚫️ О необходимости отремонтировать мост, ведущий к Заречью, меня также просили жители Зугрэса. Долгое время он не функционирует, и люди вынуждены ехать в объезд. Также надо восстановить Петровский мост – он находится в аварийном состоянии.

⚡️ Администрации Харцызска поручил до 12 июня обследовать ведущий к Заречью мост и проработать его восстановление с регионом-шефом. Правительству ДНР совместно с Минтранспорта и администрацией Донецка поручил определить сроки ремонта моста в Петровском районе города.

⚫️ Продолжаем нашу акцию по благоустройству и озеленению к 80-летию Победы «Зеленый Донбасс» – 26 апреля проведем третий общереспубликанский субботник. Приглашаю жителей Республики принять в нем участие. Необходимым инвентарем обеспечим.

⚡️ Поручил главам муниципалитетов проинформировать жителей о предстоящем субботнике и совместно с Министерством строительства и ЖКХ вывезти весь собранный мусор до 29 апреля включительно.

⚫️ На Прямой линии от родителей была просьба ограничить проезд автомобилей возле школы №135 в Донецке. Оперативно отработали, установили два шлагбаума. Подобных ситуаций впредь быть не должно. Там, где дело касается безопасности наших детей, надо работать быстро, не дожидаясь обращений от родителей.

⚡️ Министру образования поручил до 5 мая проверить учебные заведения ДНР на предмет безопасности. Также поручил провести уроки в формате «Разговоры о важном», посвященные Дню Республики.

@PushilinDenis",occupied,"['territory', 'economy', 'politics', 'entertainment']","[0.8121849298477173, 0.0860249251127243, 0.07021058350801468, 0.03157954663038254]",0,1,0,0,0,0,0,2
42,"Кількість загиблих у Сумах зросла до 34 осіб, постраждали щонайменше 117 — ДСНС",occupied,"['territory', 'economy', 'politics', 'entertainment']","[0.7273766994476318, 0.12968923151493073, 0.08245932310819626, 0.06047473102807999]",0,2,0,0,0,0,0,0
43,"🌋 Вулкан Левотоби в Индонезии снова извергается

#катаклизмы",occupied,"['territory', 'politics', 'economy', 'entertainment']","[0.8973355889320374, 0.05003051832318306, 0.03448904678225517, 0.018144847825169563]",0,1,0,0,0,0,0,0
44,"Стартовало голосование по выбору общественных территорий для благоустройства

Проекты, которые победят в голосовании, будут реализованы по федеральной программе «Формирование комфортной городской среды» в 2026 году.

На голосование вынесено 102 объекта в 20 муниципалитетах ДНР. Эти территории были предложены жителями и местными администрациями.

Отдать свой голос можно с 21 апреля по 12 июня на портале Госуслуг по ссылке.",occupied,"['territory', 'politics', 'economy', 'entertainment']","[0.933068573474884, 0.06143641844391823, 0.004073931369930506, 0.0014210636727511883]",0,0,0,0,0,0,0,0
45,"Добрый день, земляки!

У нас в республике работает федеральная экспертная группа по поддержке семьи, многодетности и повышению рождаемости. Возглавляет её директор Дивизиона семьи и демографии Агентства стратегических инициатив Григорий Сайфуллин - сам многодетный отец, успешно совмещающий отцовство с серьёзными государственными задачами. В составе группы экспертов: руководитель представительства АСИ в ДФО Ольга Курилова и руководитель экспертно-аналитического управления Патриаршей Комиссии по вопросам семьи, защиты материнства и детства Инна Ямбулатова.

Не раз отмечал, что вопрос демографии и поддержки семей с детьми - это основа всего. Поэтому мы ведём постоянную работу, чтобы создавать условия для детей, их образования и развития, по оснащению службы родовспоможения.

Мы пригласили экспертов, которые отсмотрели наши региональные программы, поделились аналитикой. Проектно-аналитическая сессия - лучший формат получения общей картины - погрузили всю нашу социальную сферу в проблематику демографических процессов.

Рабочие группы внесли предложения, которые вчера мы обсудили вместе.
Многое возьмем на вооружение. Например, интересные предложения:
 
🔣 предоставление республиканского  материнского семейного капитала на третьего и каждого последующего ребенка. Снятие ограничений по целям его использования;

🔣 пакет мер поддержки молодых, в том числе студенческих  семей;

🔣 проект “Здоровые папа и мама” для многодетных семей;

🔣 учреждение знаков отличия для многодетных отцов и матерей, 

🔣 бесплатное посещение музеев для многодетных родителей и многовнуковых дедушек и бабушек

🔣 межвузовский центр поддержки студенческих семей и другие.

Все меры будут отражены в Плане реализации Соглашения о сотрудничестве между Правительством Бурятии и АСИ в части поддержки семьи, рождаемости и многодетности.

АСИ оказывает методическую поддержку при внедрении разработанных мероприятий. Работу ведем давно, но мнение экспертов всегда ценно, и позволяет по-новому взглянуть на нее.

Работаем ✊",occupied,"['territory', 'politics', 'economy', 'entertainment']","[0.8309038281440735, 0.062354281544685364, 0.05726312845945358, 0.04947875812649727]",0,1,0,0,0,0,0,0
46,"Ищу папу
Удот Семен Данилович
03.03.1943г.р

Елена, @guseinyg (#ID5825172448)",occupied,"['territory', 'politics', 'economy', 'entertainment']","[0.46234777569770813, 0.2223961353302002, 0.19205135107040405, 0.12320481985807419]",0,0,0,0,0,0,0,0
47,"Взялись за здание бывшего санатория- профилактория МЗТМ «Здоровье». Сейчас разбирают повреждённый конструктив
Источник

Подписаться | Прислать новость",occupied,"['territory', 'economy', 'politics', 'entertainment']","[0.6737074851989746, 0.1200961321592331, 0.1062808558344841, 0.09991555660963058]",0,0,0,0,0,0,0,0
48,"Lpr 1 (Telegram)

Ожидаем пуски авиацией от Херсона",occupied,"['territory', 'politics', 'economy', 'entertainment']","[0.7580926418304443, 0.15511825680732727, 0.05312370881438255, 0.03366534784436226]",0,0,0,0,0,0,0,0
