,text,category,labels,scores,discrediting,emotion,polarization,impersonation,conspiracy,trolling,pro-ukrainian,pro-russian
10,💁‍♂️ Щось незрозуміле відбувається... Поки відбій повітряної тривоги,deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.6614528298377991, 0.12646540999412537, 0.12196998298168182, 0.09011182188987732]",1,2,1,0,2,1,0,0
11,"Нашей группировкой создана сеть пунктов воздушного наблюдения с целью обнаружение и уничтожение беспилотников ВСУ на подлёте.

Для сбивания БПЛА расчет использует ПЗРК «Верба», что позволяет оперативно отработать и уничтожить цель.

🦅 Подписаться | Наш чат 👌",deoccupied,"['territory', 'economy', 'entertainment', 'politics']","[0.5581632256507874, 0.23394545912742615, 0.12271144241094589, 0.08517982065677643]",1,1,1,0,0,0,0,3
12,"Друзі, через атаки рашистських ботів наш канал тепер знаходиться за новою адресою

Всі новини та події Херсона й області ми публікуємо за новим посиланням 👇🏻

https://t.me/+n4P12racyL04ZWE6
https://t.me/+n4P12racyL04ZWE6
https://t.me/+n4P12racyL04ZWE6

Будь ласка, підпишіться",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9002490639686584, 0.09087268263101578, 0.00534161226823926, 0.0035366308875381947]",3,2,2,0,1,1,4,0
13,"⚡️Учені відкрили новий колір «оло», який до цього ніхто ніколи не бачив: його описують як близький до бірюзового, але глибший і насичений унікальними відтінками, — The Guardian.

Підписатись: Херсон Днём и ночью 👈 тиць!",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.5183656215667725, 0.27091142535209656, 0.14609327912330627, 0.06462974101305008]",0,1,0,0,0,0,0,0
14,"Херсон. Красная зона.

Утренний движ в зоне, он мужиков. Уничтожен н.п. на верхний этажах многоэтажки.

Места активного противодействия систем РЭБ (квадраты)  будем обрабатывать артиллерией вне зависимости от нахождения там гражданских.",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9731934070587158, 0.02151702158153057, 0.0028839826118201017, 0.0024055636022239923]",2,3,3,0,1,1,0,4
15,"Жители Херсона помнят дату освобождения города в годы ВОВ и ждут его возвращения в состав России, заявил губернатор Херсонской области Владимир Сальдо.

“Наши люди, находящиеся в оккупированном Херсоне, помнят о дне его освобождения в годы Великой Отечественной войны. Эту дату мы всегда отмечали, и она прочно отпечаталась в памяти не только старших, но и молодых. Больше скажу – херсонцы на правом берегу с нетерпением ждут нового освобождения”, – сказал ТАСС глава региона.

Он подчеркнул, что люди не могут открыто выразить своё мнение из-за опасности, это опасно для них.

13 марта 1944 года в ходе Березнеговато-Снигиревской наступательной операции войска 28-й армии, входившей в состав 3-го Украинского фронта под командованием генерала армии Родиона Малиновского, освободили Херсон. Это стало важным этапом в освобождении Правобережной Украины и создало благоприятные условия для дальнейшего наступления на Одессу.",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.7987290024757385, 0.12703439593315125, 0.04463449865579605, 0.029602162539958954]",2,3,3,0,1,1,0,5
16,"Про географію Олешківських пісків, коли та чому вони з'явились, що з ними буде далі?

https://youtu.be/nZzsctuehDU?si=AVHBabSxhuD-WctR",deoccupied,"['territory', 'entertainment', 'politics', 'economy']","[0.9880049228668213, 0.007557273376733065, 0.0023698904551565647, 0.0020679719746112823]",0,0,0,0,0,0,0,0
17,"❗️Около 17:10 ⏱️ очевидцы сообщили об артударах в районе Зеленовки🇺🇦

В Днепровском районе города сейчас очень высокий актив дронов.

@kherson_non_fake",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.6610785722732544, 0.14602647721767426, 0.14139652252197266, 0.051498450338840485]",0,1,0,0,0,0,0,0
18,☺️☺️☺️,deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.5655344724655151, 0.18937452137470245, 0.1359500288963318, 0.10914096981287003]",0,1,0,0,0,0,0,0
19,"📷 https://tinyurl.com/baksxrp9

У Корюківці під колесами Ford Fiesta травмовано неповнолітню пішоходку

Як повідомляє Департамент цивільного захисту та оборонної роботи ОВА, 28 березня в Корюківці на вулиці Шевченка сталася дорожньо-транспортна пригода.

О 13:45 водій автомобіля «Ford Fiesta» здійснив наїзд на пішохода. У результаті цього інциденту неповнолітня дівчина, яка народилася у 2016 році, отримала тілесні ушкодження.

""Місцеві медіа""

#аудіо

🔗 facebook | 📷 Instagram | 🌐 Сайт  | 🤙 Viber",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.9636242985725403, 0.014927349053323269, 0.01458822563290596, 0.006860194727778435]",0,1,0,0,0,0,0,0
20,"Після майже доби робіт рятувальникам вдалося знайти тіло останньої зниклої безвісти внаслідок російського авіаудару по багатоповерхівці у Херсоні.

Це мама двійнят, які були поранені через ворожу атаку. Наразі працівники ДСНС намагаються деблокувати тіло жінки.

Мої щирі співчуття рідним і близьким вбитої.",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.667522668838501, 0.11848975718021393, 0.11582911014556885, 0.09815847128629684]",2,4,3,0,0,0,5,0
21,"​Менський центр надання адміністративних послуг стане доступнішим для всіх мешканців громади. Експерт з безбар’єрності проведе аудит приміщення, інфраструктури та послуг, визначивши необхідні зміни для покращення інклюзивності.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.9215443730354309, 0.04433703050017357, 0.024292010813951492, 0.009826583787798882]",0,1,0,0,0,0,0,0
22,"​Для деяких категорій громадян пільги на оплату житлово-комунальних послуг надаються за умови, що середньомісячний сукупний дохід сім’ї пільговика в розрахунку на одну особу за останні шість місяців не перевищує встановленого рівня доходу, який дає право на податкову соціальну пільгу (у 2025 році – 4 240 грн). Про це інформує ГУ Пенсійного фонду України в Чернігівській області",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.8527794480323792, 0.12130095809698105, 0.014245853759348392, 0.01167373824864626]",0,0,0,0,0,0,0,0
23,"- Нам всім пізда!!!
 *Бігає по хаті в трусах і шапочці з фольги*",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.5264521837234497, 0.1887407898902893, 0.17062075436115265, 0.11418628692626953]",2,4,1,0,3,5,0,0
24,"🇺🇦🕯  Дорога Корюківська громадо!

Зі скорботою повідомляємо, що Україна втратила ще одного свого Героя.  У боротьбі за її незалежність 7 листопада загинув Павло Алєксєєв з Холмів, 1979 року народження.

Поховання відбудеться завтра,  13 листопада.

Віддаймо шану його мужності:
🔻 о 09:00 вшануймо воїна живим коридором від моргу до центральної площі міста.
🔻о 10:00 - живий коридор у селі Сядрине.
🔻 далі по маршруту - селище Холми.

Вічна і світла пам’ять воїну!  Щирі співчуття рідним!",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.884686291217804, 0.038968849927186966, 0.038215272128582, 0.038129571825265884]",0,3,0,0,0,0,4,0
25,"КОЛОНКА ГОЛОВНОГО РЕДАКТОРА

«Місцеві медіа»/""Наша Корюківка"" – найближчі з усіх місцевих!

Ми видання, що не фінансується політичними партіями, політиками та органами місцевого самоврядування в будь-який спосіб. Ми не публікуємо замовні матеріали, а також рекламу, що шкодить здоров’ю людей та довкіллю.
Ми - місцеве видання, – не тільки менське, а й корюківське, новгород-сіверське, коропське, сосницьке, холминське, сновське, семенівське, понорницьке, борзнянське, батуринське -  бюджет якого формується за рахунок засновників, реалізованих редакцією грантових проєктів та рекламної діяльності.

Сьогодні презентуємо ще один спосіб, який може нам допомогти спокійно працювати та продовжувати публікувати новини, піднімати гострі теми, підтримувати комунікацію з громадами, чути думки мешканців, брати інтерв’ю, писати репортажі, знімати відео, робити опитування… І ви, шановні читачі, можете нас у цьому підтримати.

Якщо вам справді подобається наше видання, пропонуємо стати частиною спільноти «Місцевих медіа» та підтримувати нас або разово, або ж щомісячно.

Наша перша мета – згуртувати навколо «Місцевих медіа» мінімум 200 людей.

Ми хочемо насправді бути для своїх читачів «найближчими з усім місцевих» - цінними і корисними. От скажіть відверто, ви вважаєте наше видання цінним для себе, для громади? Ми щось робимо таке, що у вас викликає позитивний відгук?
Скажімо, ми свою цінність для громад і людей, що мешкають в них, інколи прослідковуємо, бо:
-  боремось за прозорість і підзвітність місцевої влади у публічному просторі;
-  допомагаємо вирішувати проблеми - як локальні (конкретної людини) на кшталт «у мене гілки обрізали, але не прибрали» або «градом дах побило, що робити?»), так і  трохи більші  - «зробіть щось із собаками», «чому на новонароджених немає виплат?»;
- ми не торгуємо репутацією перед виборами;
- ми - громадське видання, де публікація - лише початок діалогу та обміну думками. Ми цей діалог модеруємо, без цензури, але за правилами і журналістськими стандартами. А потім ми ще й повертаємось до цієї теми – радіємо, якщо допомогли, і ставимо додаткові питання, якщо конкретний гештальт лишився не закритий;
- ми завжди ставили читачів на перше місце і регулярно кажемо: ви - це і є видання.

Тому, якщо маєте натхнення, можливість та бажання нас підтримувати, можете зробити разовий донат, або оформити підписку і підтримувати “Місцеві медіа” щомісяця. Для цього є два посилання:
Моно База (monobank та інші банки) base.monobank.ua/79mUPdknD2LU8K
Конверт Приват (Приватбанк та інші банки) https://www.privat24.ua/send/g5qnc
Номер картки Конверта Приват – 5168752137795111

Що ми можемо пообіцяти вам натомість?

Найперше – нашу щиру вдячність. А потім… Потім буде закритий редакційний чат виключно для учасників спільноти з невеликими презентиками. А ще  -  дисконтний клуб для нашого ком’юніті, де кожен з його членів зможе отримати знижки на товари та послуги місцевого бізнесу, наших симпатиків і партнерів. Планів та проєктів маємо багато.

У світі є чимало прикладів медіа, які існують виключно коштом донатів своїх читачів, але в Україні поки що небагато видань отримують достатню підтримку від своєї читацької аудиторії. І таких гіперлокальних, як «Місцеві медіа», серед них майже немає. Маленьким завжди важче. Але ж ви пам’ятаєте історію про Давида і Голіафа? Розмір і величина не завжди мають значення, а надто, коли за тобою правда. Коли  за тобою люди, які тобі довіряють. Громади, яким ти можеш бути корисний.

Кожен донат від вас буде для «Місцевих медіа»  унікальний і надзвичайно коштовний. Ми не про номінал купюр зараз говоримо. Ми говоримо про вашу довіру. А взагалі слово «донат» якось у цьому конкретному  контексті звучить некоректно. Давайте назвемо це вашою інвестицією в неупередженість, прозорість та достовірність цього інформаційного поля, на якому «Місцеві медіа» десь зовсім поряд…

Сергій Бондаренко, «Місцеві медіа»",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.6163699626922607, 0.19653232395648956, 0.11812710762023926, 0.06897065043449402]",1,2,1,0,0,0,3,0
26,"Увага ‼️
Ворожі дрони Сухарка",deoccupied,"['territory', 'economy', 'entertainment', 'politics']","[0.47364625334739685, 0.20781885087490082, 0.17893952131271362, 0.1395953893661499]",0,2,0,0,0,0,3,0
27,"Госавтоинспекторы провели профилактическую акцию «Велосипед — без риска» в Чаплинском округе

Участникам мероприятия напомнили, что выезд на дорогу на велосипеде разрешен только с 14 лет. При этом необходимо двигаться в правом ряду, а при пересечении дороги следует спешиться и использовать пешеходный переход.",deoccupied,"['territory', 'economy', 'entertainment', 'politics']","[0.781076192855835, 0.10391870886087418, 0.06399168819189072, 0.051013387739658356]",0,0,0,0,0,0,0,0
28,"Как хохлы отмечают Пасху в объявленное перемирие.

ИзХерсонец - http://t.me/Kherson_Uyut
Прислать сообщение в бот",deoccupied,"['territory', 'politics', 'entertainment', 'economy']","[0.8598701357841492, 0.11850489675998688, 0.014195933938026428, 0.007429036311805248]",4,3,4,0,0,3,0,4
29,"❗️Сегодня ночью были нанесены удары по инфраструктуре и военным объектам противника  в Херсоне и Николаеве

😌Свободный Херсон",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.8155494332313538, 0.10736611485481262, 0.04090381786227226, 0.036180656403303146]",2,2,3,0,0,1,0,4
30,"😱 Обережно! 6-бальна магнітна буря накрила Землю сьогодні!

Чекаємо різкі перепади тиску та настрою, нудоту, мігрені. Пийте більше води, уникайте фізичних навантажень і конфліктів. Можуть бути збої у роботі засобів зв’язку.

Метеозалежним приготуватися. Максимальний репост!

Підписатись: Херсон Днём и ночью 👈 тиць!",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.7011322975158691, 0.14413423836231232, 0.08902312815189362, 0.06571037322282791]",0,3,0,0,0,1,0,0
31,"⚡️ Чернігівська
Область заживлено. Застовуються графіки аварійних відключень.",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.9802080392837524, 0.013873159885406494, 0.0035045836120843887, 0.0024142281617969275]",0,1,0,0,0,0,0,0
32,"Военная обстановка на Херсонском направлении за сутки (21–22 апреля 2025 года)

В течение последних суток на Херсонском направлении сохраняется напряжённая обстановка. Украинские вооружённые формирования продолжили активные боевые действия, в том числе обстрелы населённых пунктов и попытки атак на позиции российских войск.​

Боевая активность
Подразделения группировки войск «Днепр» нанесли удары по формированиям механизированной бригады ВСУ и территориальной обороны в районах населённых пунктов Новоданиловка (Запорожская область) и Понятовка (Херсонская область). В результате были уничтожены до 10 украинских военнослужащих, а также станция радиоэлектронной борьбы и радиолокационная станция контрбатарейной борьбы AN/TPQ-36 американского производства .​

Обстрелы и удары ВСУ
Украинские силы продолжили обстрелы территории Херсонской области. За сутки зафиксировано 38 ударов по различным населённым пунктам региона . В результате обстрелов имеются разрушения гражданской инфраструктуры и пострадавшие среди мирного населения.​

Обстановка на Херсонском направлении остаётся напряжённой. Российские войска продолжают отражать атаки противника и наносят удары по его позициям, несмотря на продолжающиеся обстрелы со стороны ВСУ.

🦅 Подписаться | Наш чат 👌",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.7305288910865784, 0.10762818902730942, 0.10044626891613007, 0.061396703124046326]",3,2,3,0,0,1,0,4
33,"💥Внаслідок ворожих обстрілів Херсонщини протягом доби 3 людини загинули, ще 3 - дістали поранення.

російські військові били по житлових кварталах населених пунктів області та магазин.

Минулої доби під ворожим вогнем та авіаударами опинилися Антонівка, Садове, Придніпровське, Висунці, Понятівка, Високе, Одрадокам'янка, Шляхове, Золота Балка, Бургунка, Микільське, Червоний Маяк та місто Херсон.

🍉 ПІДПИСАТИСЬ НА КАНАЛ",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9464586973190308, 0.026146739721298218, 0.020769214257597923, 0.006625365931540728]",3,4,3,0,0,1,5,0
34,"Стоматолог из Мордовии осмотрел более 370 пациентов Каланчакской ЦРБ за март

С начала весны в Каланчакской районной больнице работает 13-я бригада врачей из Мордовии. Среди них стоматолог Руслан Адамчик, который посещает подшефный округ уже во второй раз.

Низкий поклон врачам

👉 MDK Херсон. Подписаться",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.9349836707115173, 0.027666261419653893, 0.02194417454302311, 0.015405843034386635]",0,1,0,0,0,0,0,0
35,"⚡️ Авіація відлетіла від пускових. Очікуємо відбій, якщо не буде нових бортів",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.5836522579193115, 0.16777706146240234, 0.129908487200737, 0.11866222321987152]",0,1,0,0,0,0,0,0
36,"😃 К «Героям Херсонщины» присоединился уроженец Голой Пристани Александр Золотовский

Ранее он трудился в Голопристанской Военно-гражданской администрации и налаживал мирную жизнь в регионе. После террористического удара по Каховской ГЭС Александр принял решение защищать Родину с оружием в руках и вступил в ряды Российской армии. Он находится на передовой, откуда уже подал заявку в нашу кадровую программу и записал свою видеовизитку. После СВО Александр хочет вновь стать государственным служащим и принять участие в социально-экономическом восстановлении Херсонской области. Желаю ему победы на поле боя и удачи в отборе!

Напоминаю, сбор заявок как от действующих военнослужащих, так и от ветеранов СВО на официальном сайте проекта завершится в понедельник, 31 марта в 18:00. Вы можете сделать заявку заметнее, прислав ролик.

📌 Ролик можно прислать через чат-бот проекта: @GeroiHO_bot
📌 Телефон службы поддержки: +7(990)202-22-84.",deoccupied,"['territory', 'entertainment', 'economy', 'politics']","[0.42789021134376526, 0.2516215443611145, 0.2510932981967926, 0.06939499825239182]",1,2,2,0,0,1,0,5
37,✅ (17:53) Відбій повітряної тривоги в Чернігівській області!,deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.8952667713165283, 0.045548707246780396, 0.03236168250441551, 0.026822827756404877]",0,0,0,0,0,0,0,0
38,"Привет с рубежей Херсонщины летит землякам нашего бойца, в Новгородскую область. Работаем, братья 🇷🇺🤙🏻

🦅 Подписаться | Наш чат 👌",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.9583427309989929, 0.019541848450899124, 0.01662404090166092, 0.005491369869560003]",0,2,1,0,0,1,0,4
39,"Следующий этап этого пиздеца: ""США открывает ленд-лиз и поставки военной техники для России, из-за того что Зеленский не хочет извиниться и отдать ресурсы Украины"".",deoccupied,"['politics', 'territory', 'economy', 'entertainment']","[0.4642244279384613, 0.3353326618671417, 0.17759668827056885, 0.022846277803182602]",4,5,4,0,3,4,0,2
40,"❗️В Херсонской и Запорожской областях России выборы президента пройдут также как и в остальной стране.
А вот на оккупированных частях территории Херсонской и Запорожской областей выборы не пройдут. Также как и на остальной Украине.

😌Свободный Херсон",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.4558209776878357, 0.417548269033432, 0.06917718052864075, 0.057453494518995285]",3,2,4,0,0,2,0,4
41,"🔫 Сили оборони півдня протягом доби зруйнували 54 укриття та спостережний пункт ворога.

За минулу добу ворожі втрати склали:
- 113 окупантів;
- 9 артилерійських систем;
- 1 система ППО;
- 40 одиниць автомобільної та броньованої техніки;
- 8 розвідувальних БпЛА;
- 3 станції РЕБ;
- 2 човни;
- 2 багі;
- 20 мотоциклів;
- 2 квадроцикли;
- 13 антен БпЛА;
- 1 антена Starlink;
- 10 генераторів;
- 2 місця зберігання БП;
- 1 місце зберігання ПММ.

Підписатися 🇺🇦 Підтримати",deoccupied,"['territory', 'economy', 'politics', 'entertainment']","[0.9836315512657166, 0.007452323567122221, 0.006347188260406256, 0.0025689953472465277]",2,2,1,0,0,1,5,0
42,"Новые, старые кадры по моему это не так важно, если смотреть в корень. Да, откровенных ждунов нужно снимать с должности и отправлять домой. С моей точки зрения нужно позволить быть инициативе, дать возможность её реализовать, разумеется только той инициативе которая позволит быстрее, лучше достичь конечного результата. Инициатива и процесс ее реализации имеет особенную  созидательную энергию, импульс которой позволит куда продуктивнее реализовывать поставленные перед тем или иным ведомством задачи.",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.5627301335334778, 0.22108839452266693, 0.17547598481178284, 0.04070550203323364]",2,1,1,0,0,0,0,0
43,"діти яких, вчора вбили росіяни у Кривому розі …",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.8032247424125671, 0.12129628658294678, 0.05434450879693031, 0.021134501323103905]",4,5,3,0,1,2,5,0
44,"❗️Жительница Херсона на условиях анонимности рассказала, что украинские военные открыто грабят жилые дома и квартиры, мотивируя свои действия тем, что они ничего не хотят оставлять России.

Местные жители считают, что это может означать подготовку ВСУ к бегству.

😌Свободный Херсон",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.8393276929855347, 0.11619507521390915, 0.029733503237366676, 0.014743729494512081]",5,3,4,1,2,2,1,5
45,"В цей день 11 років тому на засіданні РНБОУ було ухвалено рішення про початок АТО на сході України.

14 квітня, на наступний день, в.о. президента О.Турчинов підписав відповідний указ про введення цього рішення в дію.",deoccupied,"['territory', 'politics', 'economy', 'entertainment']","[0.626613199710846, 0.3060498833656311, 0.03596670180559158, 0.031370267271995544]",0,1,1,0,0,0,2,0
46,"В Сотниково завершается строительство МФЦ нового формата!

Объект будет по-настоящему многофункциональным центром. С учётом пожеланий местных жителей в новом здании, которое уже получило название «Хии Морин», расположится не только административный корпус с услугами МФЦ, а также общественно-культурный
и образовательный блоки.

Все корпуса объединит всесезонное многофункциональное пространство, которое можно будет трансформировать под различные нужды: от коворкинга до проведения выставок и ярмарок.

Между модулями расположатся тематические дворики:

✅амфитеатр для
мероприятий под открытым небом

✅зелёный дворик для чтения и работы

✅площадка с кафе и детской зоной

Строительство идёт по графику, открытие планируется уже в
июле этого года.

Строим МФЦ нового формата по поручению нашего Президента и при поддержке федерального центра. Ранее с этим проектом стали победителями
конкурса лучших проектов благоустройства и получили на его реализацию 150 млн рублей по программе «Формирование комфортной городской среды».

Село Сотниково добилось успеха настадии принятия решений во многом благодаря активному участию жителей в общественных слушаниях по созданию конкурсной заявки.

Вместе строим будущее для наших детей! 👍",occupied,"['territory', 'politics', 'economy', 'entertainment']","[0.8370826840400696, 0.0949980840086937, 0.04019736498594284, 0.027721868827939034]",0,1,0,0,0,0,0,0
47,"Уважаемые земляки!

Сегодня наш Президент Владимир Владимирович Путин провел Президиум Госсовета по развитию инфраструктуры для жизни.

В рамках заседания обратился к Президенту с предложением по поддержке программ по обновлению парков общественного транспорта в регионах.

🚌 При этом, мы не просто хотим закупать автобусы, мы хотим закупать комфортабельные низкопольные автобусы, чтобы и мамочки с колясками, и маломобильные граждане, ветераны СВО с ранениями могли беспрепятственно пользоваться общественным транспортом.

В рамках работы Комиссии мы нашли возможный внебюджетный источник финансирования программ по обновлению общественного транспорта. А именно участие в программе компаний, занимающихся страхованием ОСАГО.

Владимир Владимирович поручил наше предложение проработать вместе с правительсвтвом и ЦБ. По его поручению просчитаем все риски и возможности. 💳 Здесь главное - не допустить роста тарифов ОСАГО для автовладельцев. Предварительные решения по этому вопросу есть, будем совместно с Правительством РФ прорабатывать.

Отмечу, что на сегодня по плану развития дорожной деятельности до 2030 года объем федеральных средств составляет 9,2 трлн. рублей, в том числе субсидий регионам - 2,7 три рублей. Беспрецедентная сумма. Она практически на треть больше, чем было в предыдущем нацпроекте 18-24 годов. Уверен, что люди это увидят и почувствую реально улучшения на дорогах!",occupied,"['territory', 'economy', 'politics', 'entertainment']","[0.7875306010246277, 0.1359964907169342, 0.058779191225767136, 0.017693763598799706]",0,1,0,0,0,0,0,2
48,"❓Нужно ли подавать заявление на перерасчет пенсии людям с инвалидностью?

✅При установлении гражданину другой группы инвалидности Отделение Социального фонда России по ЛНР беззаявительно пересчитает размер пенсии и ежемесячной денежной выплаты (ЕДВ) по данным Федерального реестра инвалидов.

Заявление жителям ЛНР подавать не нужно.

✔️Информацию о новом размере пенсии и ЕДВ можно будет посмотреть в личном кабинете на портале госуслуг.

➡️Способ доставки выплат при этом не изменится.

Отделение Социального фонда России по ЛНР 👉здесь»>

#СФР #пенсиясфр",occupied,"['territory', 'economy', 'politics', 'entertainment']","[0.42280933260917664, 0.30596503615379333, 0.14915728569030762, 0.12206834554672241]",0,0,0,0,0,0,0,2
